sb_code,sb_name,sb_credits,sb_type,sb_campus_code,sb_campus_name,sb_faculty_code,sb_faculty_name,sb_is_active
2021268,Flauta II,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021269,Flauta III,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021270,Flauta IV,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021271,Flauta V,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021272,Flauta VI,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021273,Flauta VII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021274,Flauta VIII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2026954,Fonética de lengua extranjera,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018089,Fundamentación en dirección I,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018090,Fundamentación en dirección II,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018093,Fundamentación en Jazz,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2016072,Gestión cultural y empresarial en las artes,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018099,Gimnasia consciente I,2,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018100,Gimnasia consciente II,2,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018102,Gramática avanzada I,3,B,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018103,Gramática avanzada II,3,B,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2028633,Gramática avanzada: siglo XX,4,B,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021275,Guitarra I,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021276,Guitarra II,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021277,Guitarra III,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021278,Guitarra IV,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
